Year,NSW,VIC,QLD,SA,WA,TAS,ACT,NT
2015,831,1100,982,NA,NA,58,25,NA
2016,910,1252,1065,NA,NA,49,43,NA
2017,429,1041,NA,NA,NA,56,51,25
2018,1099,1435,NA,NA,NA,74,44,39
2019,1572,1704,NA,NA,NA,70,88,NA
2020,1484,1836,1362,NA,NA,58,84,NA
2021,1438,1532,1018,NA,NA,78,63,66
2022,1357,1460,1212,NA,NA,128,57,40
