Year,NSW,VIC,QLD,SA,WA,TAS,ACT,NT
2015,792,1365,104,774,621,104,54,11
2016,842,1408,76,852,810,76,65,11
2017,486,1351,111,828,781,111,56,10
2018,1120,1351,101,664,735,101,65,15
2019,1281,1351,76,619,709,76,85,11
2020,1365,1557,76,626,632,76,73,11
2021,1029,1373,92,762,824,92,113,8
2022,936,1054,120,732,730,120,80,11
