Year,NSW,VIC,QLD,SA,WA,TAS,ACT,NT
2015,786,965,959,222,533,130,56,97
2016,884,956,1151,310,538,129,60,107
2017,504,1069,1368,312,572,167,51,134
2018,1258,1242,1368,367,516,161,62,142
2019,1642,1446,1368,323,555,150,96,169
2020,2136,1891,1771,407,558,147,143,169
2021,1772,1611,1365,467,631,208,160,219
2022,1823,1402,1597,344,558,202,131,244
