Year,NSW,VIC,QLD,SA,WA,TAS,ACT,NT
2015,831,1100,982,716,1337,58,25,43
2016,910,1252,1065,1325,1886,49,43,42
2017,429,1041,1128,1149,1652,56,51,25
2018,1099,1435,1128,1245,1547,74,44,39
2019,1572,1704,1128,1294,1937,70,88,43
2020,1484,1836,1362,1669,2054,58,84,43
2021,1438,1532,1018,1272,1297,78,63,66
2022,1357,1460,1212,1239,1673,128,57,40
