Status,Male,Female
Drink Daily,700000,400000
Drink Weekly,4300000,3500000
Drink Monthly,1900000,2200000
Drink More than Monthly,1500000,2200000
Drink Yearly,800000,1000000
Never Drank,1500000,1700000
