Status,Male,Female
Drink Daily,800000,400000
Drink Weekly,4000000,3200000
Drink Monthly,1900000,2200000
Drink More than Monthly,1100000,1800000
Drink Yearly,700000,800000
Never Drank,1300000,1700000
